"","Date","Plot","Depth","PQ","Treatment","Time","DT","CO2","O2","corrCO2","dcorrO2","corrO2","ARQ","VWC","Soil.Temp"
"1",2018-05-03,"1","10","1-2","Control","10:06","2018-05-03 10:06:00",2610,21.721013335,3927.60018672103,19.9974700804237,18.0657930288659,0.0928219149562381,0.17709375,11.0771875
"2",2018-05-03,"1","10","1-3","Control","10:12","2018-05-03 10:12:00",1860,23.06351948,1860,21.0860781544502,21.165667538567,Inf,0.17709375,11.0771875
"3",2018-05-03,"1","10","1-1","Control","10:19","2018-05-03 10:19:00",2301.5,23.273333335,3526.14636887648,21.0266656705639,20.9964870513454,Inf,0.17709375,11.0771875
"4",2018-05-03,"1","30","1-3","Control","10:16","2018-05-03 10:16:00",2392,23.18218269,3643.91483083736,21.0471282910342,21.0547555477042,Inf,0.17709375,9.348125
"5",2018-05-03,"1","30","1-2","Control","10:08","2018-05-03 10:08:00",2628.5,22.738333335,3951.67440270198,20.9279392400476,20.7153578252327,1.14875876373327,0.17709375,9.348125
"6",2018-05-03,"1","30","1-1","Control","10:21","2018-05-03 10:21:00",2615,23.340411765,3934.10673158074,21.0226344041456,20.9850077868517,Inf,0.17709375,9.348125
"7",2018-05-03,"1","OA","1-2","Control","10:04","2018-05-03 10:04:00",1856,21.726266485,1856,20.0916799094564,18.3340609707906,0.0421554167618841,0.17709375,11.40375
"8",2018-05-03,"1","OA","1-1","Control","10:18","2018-05-03 10:18:00",969.5,23.2203,969.5,21.0101874571349,20.9495643846918,98.485978773929,0.17709375,11.40375
"9",2018-05-03,"1","OA","1-3","Control","10:10","2018-05-03 10:10:00",904.5,22.93915,904.5,21.0440951368743,21.0461184656465,Inf,0.17709375,11.40375
"10",2018-05-03,"2","10","2-1","Control","10:29","2018-05-03 10:29:00",2741,24.494427275,4098.07166204562,21.9204293664707,23.5415309149193,Inf,0.14728125,10.68390625
"11",2018-05-03,"2","10","2-4","Control","10:34","2018-05-03 10:34:00",1796,24.455366885,1796,21.7458694464558,23.044461437501,Inf,0.14728125,10.68390625
"12",2018-05-03,"2","10","2-2","Control","10:41","2018-05-03 10:41:00",1822.5,24.26075,1822.5,21.3963416740415,22.0491608715845,Inf,0.14728125,10.68390625
"13",2018-05-03,"2","30","2-4","Control","10:36","2018-05-03 10:36:00",3158,24.409595235,4640.71750334602,21.6515732196293,22.7759474728568,Inf,0.14728125,8.29691666666667
"14",2018-05-03,"2","30","2-1","Control","10:30","2018-05-03 10:30:00",2846,24.49805769,4234.70910409967,21.8953804964753,23.4702028075424,Inf,0.14728125,8.29691666666667
